Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area_sort,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,9,706,258,117,82,9594,20,30,0,0,0,,0,1,3212,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,10,242,32,36,40,1440,57,21,0,0,0,,0,1,3230,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,11,615,4,74,60,4440,24,34,0,0,0,,0,1,3234,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,12,711,227,59,118,6962,24,44,0,0,0,,0,1,3248,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,13,216,271,78,114,8892,31,61,0,0,0,,0,1,3266,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,14,927,152,109,123,13407,29,22,0,0,0,,0,1,3312,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,15,386,1,38,96,3648,62,47,0,0,0,,0,1,3312,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,16,138,107,72,109,7848,33,61,0,0,0,,0,1,3325,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,17,60,16,127,69,8763,67,40,0,0,0,,0,1,3332,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,18,701,155,63,56,3528,68,31,0,0,0,,0,1,3332,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,19,131,312,75,90,6750,9,5,19,89,84.59314393,,1,1,3339,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,20,326,77,57,68,3876,25,47,0,0,0,,0,1,3344,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,21,828,260,38,88,3344,27,60,0,0,0,,0,1,3344,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,22,420,249,103,116,11948,45,432,0,0,0,,0,1,3344,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,23,612,185,36,40,1440,28,57,0,0,0,,0,1,3344,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,24,1045,24,84,120,10080,45,9,0,0,0,,0,1,3360,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,25,92,271,117,63,7371,21,14,0,0,0,,0,1,3360,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,26,917,85,125,71,8875,57,96,0,0,0,,0,1,3382,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,27,429,11,82,128,10496,53,4,27,52,54.58937626,,1,1,3384,,,,,,,,,,,,,,
4,Smart Trackpad,2D Task,2D Target Selection Task,28,201,211,72,107,7704,56,38,0,0,0,,0,1,3384,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,962,344,46,106,4876,280,418,5,37,469.8787078,,1,1,3392,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,130,260,94,50,4700,26,35,0,0,0,,0,1,3392,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,447,298,39,88,3432,150,421,23,62,380.8017857,,1,1,3400,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,940,203,42,83,3486,6,56,0,0,0,,0,1,3400,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,5,541,92,104,67,6968,541,410,48,24,626.1349695,,1,1,3402,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,6,723,56,108,85,9180,41,30,0,0,0,,0,1,3404,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,7,252,274,128,113,14464,155,257,54,60,221.3820228,,1,1,3420,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,8,237,199,103,58,5974,44,11,0,0,0,,0,1,3432,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,9,164,245,79,112,8848,12,34,0,0,0,,0,1,3440,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,10,620,315,36,100,3600,84,36,0,0,0,,0,1,3450,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,11,731,274,109,108,11772,30,39,20,38,10.04987562,,1,1,3465,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,12,486,193,108,103,11124,10,44,0,0,0,,0,1,3465,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,13,754,278,54,85,4590,17,59,0,0,0,,0,1,3480,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,14,1008,48,112,59,6608,94,55,0,0,0,,0,1,3480,,,,,,,,,,,,,,
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,15,87,221,55,72,3960,23,32,55,84,61.05735009,,1,1,3483,,,,,,,,,,,,,,
